code,prefecture,prefecture_en,city,lat,long,pop-1995
1,北海道,Hokkaido,札幌市,43.06417,141.34694,5692321
2,青森県,Aomori,青森市,40.82444,140.74,1481663
3,岩手県,Iwate,盛岡市,39.70361,141.1525,1419505
4,宮城県,Miyagi,仙台市,38.26889,140.87194,2328739
5,秋田県,Akita,秋田市,39.71861,140.1025,1213667
6,山形県,Yamagata,山形市,38.24056,140.36333,1256958
7,福島県,Fukushima,福島市,37.75,140.46778,2133592
8,茨城県,Ibaraki,水戸市,36.34139,140.44667,2955530
9,栃木県,Tochigi,宇都宮市,36.56583,139.88361,1984390
10,群馬県,Gunma,前橋市,36.39111,139.06083,2003540
11,埼玉県,Saitama,さいたま市,35.85694,139.64889,6759311
12,千葉県,Chiba,千葉市,35.60472,140.12333,5797782
13,東京都,Tokyo,新宿区,35.68944,139.69167,11773605
14,神奈川県,Kanagawa,横浜市,35.44778,139.6425,8245900
15,新潟県,Niigata,新潟市,37.90222,139.02361,2488364
16,富山県,Toyama,富山市,36.69528,137.21139,1123125
17,石川県,Ishikawa,金沢市,36.59444,136.62556,1180068
18,福井県,Fukui,福井市,36.06528,136.22194,826996
19,山梨県,Yamanashi,甲府市,35.66389,138.56833,881996
20,長野県,Nagano,長野市,36.65139,138.18111,2193984
21,岐阜県,Gifu,岐阜市,35.39111,136.72222,2100315
22,静岡県,Shizuoka,静岡市,34.97694,138.38306,3737689
23,愛知県,Aichi,名古屋市,35.18028,136.90667,6868336
24,三重県,Mie,津市,34.73028,136.50861,1841358
25,滋賀県,Shiga,大津市,35.00444,135.86833,1287005
26,京都府,Kyoto,京都市,35.02139,135.75556,2629592
27,大阪府,Osaka,大阪市,34.68639,135.52,8797268
28,兵庫県,Hyogo,神戸市,34.69139,135.18306,5401877
29,奈良県,Nara,奈良市,34.68528,135.83278,1430862
30,和歌山県,Wakayama,和歌山市,34.22611,135.1675,1080435
31,鳥取県,Tottori,鳥取市,35.50361,134.23833,614929
32,島根県,Shimane,松江市,35.47222,133.05056,771441
33,岡山県,Okayama,岡山市,34.66167,133.935,1950750
34,広島県,Hiroshima,広島市,34.39639,132.45944,2881748
35,山口県,Yamaguchi,山口市,34.18583,131.47139,1555543
36,徳島県,Tokushima,徳島市,34.06583,134.55944,832427
37,香川県,Kagawa,高松市,34.34028,134.04333,1027006
38,愛媛県,Ehime,松山市,33.84167,132.76611,1506700
39,高知県,Kochi,高知市,33.55972,133.53111,816704
40,福岡県,Fukuoka,福岡市,33.60639,130.41806,4933393
41,佐賀県,Saga,佐賀市,33.24944,130.29889,884316
42,長崎県,Nagasaki,長崎市,32.74472,129.87361,1544934
43,熊本県,Kumamoto,熊本市,32.78972,130.74167,1859793
44,大分県,Oita,大分市,33.23806,131.6125,1231306
45,宮崎県,Miyazaki,宮崎市,31.91111,131.42389,1175819
46,鹿児島県,Kagoshima,鹿児島市,31.56028,130.55806,1794224
47,沖縄県,Okinawa,那覇市,26.2125,127.68111,1273440
